text,emotion
I feel hopeless and lost,sad
I don't think I can go on like this,sad
I am so depressed and lonely,sad
Everything is falling apart,sad
I feel empty inside,sad
I am having a panic attack,anxious
I am scared about my future,anxious
My heart is racing and I can't breathe,anxious
I feel so nervous about the exam,anxious
I am worried that something bad will happen,anxious
I am so angry right now,angry
I hate how people treat me,angry
I am furious about the situation,angry
This is so unfair and I am mad,angry
I want to scream at everyone,angry
I feel great today,happy
I am so excited for the weekend,happy
I love my life and my friends,happy
Everything is going perfectly,happy
I feel amazing and energetic,happy
It is a normal day,neutral
I am just walking to the store,neutral
The weather is okay,neutral
I am reading a book,neutral
I have some work to do,neutral
I feel like crying all the time,sad
There is no hope for me,sad
I am terrified of failing,anxious
What if I mess everything up,anxious
I am rageful and bitter,angry
I am so joyful and blessed,happy
Just watching TV,neutral
